nombre_estado,cve_ent,nombre_municipio,cve_geo,nivel_priorizacion,tipo_vul,vulnerabilidad_actual,aumento_vulnerabilidad
Ciudad de México,09,Álvaro Obregón,09010,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Álvaro Obregón,09010,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Medio,
Ciudad de México,09,Gustavo A. Madero,09005,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Ciudad de México,09,Gustavo A. Madero,09005,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Gustavo A. Madero,09005,Primer Nivel de Priorización,Población expuesta al dengue,,Aumento
Ciudad de México,09,Gustavo A. Madero,09005,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Ciudad de México,09,Gustavo A. Madero,09005,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Gustavo A. Madero,09005,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Ciudad de México,09,Cuajimalpa de Morelos,09004,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Ciudad de México,09,Cuajimalpa de Morelos,09004,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Cuajimalpa de Morelos,09004,Primer Nivel de Priorización,Población expuesta al dengue,,
Ciudad de México,09,Cuajimalpa de Morelos,09004,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Ciudad de México,09,Cuajimalpa de Morelos,09004,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Cuajimalpa de Morelos,09004,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Ciudad de México,09,Miguel Hidalgo,09016,,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Miguel Hidalgo,09016,,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Miguel Hidalgo,09016,,Población expuesta al dengue,,
Ciudad de México,09,Miguel Hidalgo,09016,,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Miguel Hidalgo,09016,,Producción ganadera en inundaciones,,
Ciudad de México,09,Miguel Hidalgo,09016,,Asentamientos humanos expuestos a inundaciones,,
Ciudad de México,09,Iztacalco,09006,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Ciudad de México,09,Iztacalco,09006,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Iztacalco,09006,Primer Nivel de Priorización,Población expuesta al dengue,,Aumento
Ciudad de México,09,Iztacalco,09006,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Iztacalco,09006,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Iztacalco,09006,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Ciudad de México,09,Coyoacán,09003,,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Coyoacán,09003,,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Coyoacán,09003,,Población expuesta al dengue,,
Ciudad de México,09,Coyoacán,09003,,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Coyoacán,09003,,Producción ganadera en inundaciones,,
Ciudad de México,09,Coyoacán,09003,,Asentamientos humanos expuestos a inundaciones,,
Ciudad de México,09,Venustiano Carranza,09017,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Muy Alto,Aumento
Ciudad de México,09,Venustiano Carranza,09017,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Venustiano Carranza,09017,Segundo Nivel de Priorización,Población expuesta al dengue,,Aumento
Ciudad de México,09,Venustiano Carranza,09017,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Venustiano Carranza,09017,Segundo Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Venustiano Carranza,09017,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Muy Alto,Aumento
Ciudad de México,09,Tláhuac,09011,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Ciudad de México,09,Tláhuac,09011,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Tláhuac,09011,Primer Nivel de Priorización,Población expuesta al dengue,,
Ciudad de México,09,Tláhuac,09011,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Tláhuac,09011,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Tláhuac,09011,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,
Ciudad de México,09,Iztapalapa,09007,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Ciudad de México,09,Iztapalapa,09007,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Iztapalapa,09007,Primer Nivel de Priorización,Población expuesta al dengue,,Aumento
Ciudad de México,09,Iztapalapa,09007,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Bajo,Aumento
Ciudad de México,09,Iztapalapa,09007,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Iztapalapa,09007,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Ciudad de México,09,Milpa Alta,09009,,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Milpa Alta,09009,,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Milpa Alta,09009,,Población expuesta al dengue,,
Ciudad de México,09,Milpa Alta,09009,,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Milpa Alta,09009,,Producción ganadera en inundaciones,,
Ciudad de México,09,Milpa Alta,09009,,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Apaxtla,12006,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,
Guerrero,12,Apaxtla,12006,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,Aumento
Guerrero,12,Apaxtla,12006,Primer Nivel de Priorización,Población expuesta al dengue,Medio,Aumento
Guerrero,12,Apaxtla,12006,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,Apaxtla,12006,Primer Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,Apaxtla,12006,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Cocula,12017,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Cocula,12017,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Cocula,12017,Primer Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,Cocula,12017,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Cocula,12017,Primer Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,Cocula,12017,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Cuetzala del Progreso,12026,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Cuetzala del Progreso,12026,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Cuetzala del Progreso,12026,Segundo Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,Cuetzala del Progreso,12026,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,Cuetzala del Progreso,12026,Segundo Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,Cuetzala del Progreso,12026,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Chilapa de Álvarez,12028,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Chilapa de Álvarez,12028,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Chilapa de Álvarez,12028,Segundo Nivel de Priorización,Población expuesta al dengue,Sin Vulnerabilidad,
Guerrero,12,Chilapa de Álvarez,12028,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,Chilapa de Álvarez,12028,Segundo Nivel de Priorización,Producción ganadera en inundaciones,,
Guerrero,12,Chilapa de Álvarez,12028,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Guerrero,12,Chilpancingo de los Bravo,12029,,Producción forrajera en estrés hídrico,,
Guerrero,12,Chilpancingo de los Bravo,12029,,Producción ganadera en estrés hídrico,,
Guerrero,12,Chilpancingo de los Bravo,12029,,Población expuesta al dengue,,
Guerrero,12,Chilpancingo de los Bravo,12029,,Asentamientos humanos expuestos a deslaves,,
Guerrero,12,Chilpancingo de los Bravo,12029,,Producción ganadera en inundaciones,,
Guerrero,12,Chilpancingo de los Bravo,12029,,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,General Canuto A. Neri,12031,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Muy Alto,
Guerrero,12,General Canuto A. Neri,12031,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,General Canuto A. Neri,12031,Primer Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,General Canuto A. Neri,12031,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,General Canuto A. Neri,12031,Primer Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,General Canuto A. Neri,12031,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,General Heliodoro Castillo,12032,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,
Guerrero,12,General Heliodoro Castillo,12032,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,General Heliodoro Castillo,12032,Primer Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,General Heliodoro Castillo,12032,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,General Heliodoro Castillo,12032,Primer Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,General Heliodoro Castillo,12032,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Huitzuco de los Figueroa,12034,,Producción forrajera en estrés hídrico,,
Guerrero,12,Huitzuco de los Figueroa,12034,,Producción ganadera en estrés hídrico,,
Guerrero,12,Huitzuco de los Figueroa,12034,,Población expuesta al dengue,,
Guerrero,12,Huitzuco de los Figueroa,12034,,Asentamientos humanos expuestos a deslaves,,
Guerrero,12,Huitzuco de los Figueroa,12034,,Producción ganadera en inundaciones,,
Guerrero,12,Huitzuco de los Figueroa,12034,,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Juan R. Escudero,12039,Tercer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Juan R. Escudero,12039,Tercer Nivel de Priorización,Producción ganadera en estrés hídrico,Alto,
Guerrero,12,Juan R. Escudero,12039,Tercer Nivel de Priorización,Población expuesta al dengue,Alto,
Guerrero,12,Juan R. Escudero,12039,Tercer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,
Guerrero,12,Juan R. Escudero,12039,Tercer Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,Juan R. Escudero,12039,Tercer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,
Guerrero,12,Leonardo Bravo,12040,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Medio,Aumento
Guerrero,12,Leonardo Bravo,12040,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Leonardo Bravo,12040,Primer Nivel de Priorización,Población expuesta al dengue,Bajo,
Guerrero,12,Leonardo Bravo,12040,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,Leonardo Bravo,12040,Primer Nivel de Priorización,Producción ganadera en inundaciones,Alto,Aumento
Guerrero,12,Leonardo Bravo,12040,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Mártir de Cuilapan,12042,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Mártir de Cuilapan,12042,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,Aumento
Guerrero,12,Mártir de Cuilapan,12042,Segundo Nivel de Priorización,Población expuesta al dengue,Medio,Aumento
Guerrero,12,Mártir de Cuilapan,12042,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Mártir de Cuilapan,12042,Segundo Nivel de Priorización,Producción ganadera en inundaciones,Alto,Aumento
Guerrero,12,Mártir de Cuilapan,12042,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Guerrero,12,Mochitlán,12044,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Mochitlán,12044,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Mochitlán,12044,Segundo Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,Mochitlán,12044,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,Mochitlán,12044,Segundo Nivel de Priorización,Producción ganadera en inundaciones,,
Guerrero,12,Mochitlán,12044,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Guerrero,12,Quechultenango,12051,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Quechultenango,12051,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Quechultenango,12051,Primer Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,Quechultenango,12051,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Quechultenango,12051,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Guerrero,12,Quechultenango,12051,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Guerrero,12,San Marcos,12053,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,San Marcos,12053,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,Bajo,Aumento
Guerrero,12,San Marcos,12053,Segundo Nivel de Priorización,Población expuesta al dengue,Alto,Aumento
Guerrero,12,San Marcos,12053,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,San Marcos,12053,Segundo Nivel de Priorización,Producción ganadera en inundaciones,Medio,
Guerrero,12,San Marcos,12053,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,
Guerrero,12,Tecoanapa,12056,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Tecoanapa,12056,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,Aumento
Guerrero,12,Tecoanapa,12056,Primer Nivel de Priorización,Población expuesta al dengue,Alto,Aumento
Guerrero,12,Tecoanapa,12056,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Tecoanapa,12056,Primer Nivel de Priorización,Producción ganadera en inundaciones,Medio,
Guerrero,12,Tecoanapa,12056,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Teloloapan,12058,,Producción forrajera en estrés hídrico,,
Guerrero,12,Teloloapan,12058,,Producción ganadera en estrés hídrico,,
Guerrero,12,Teloloapan,12058,,Población expuesta al dengue,,
Guerrero,12,Teloloapan,12058,,Asentamientos humanos expuestos a deslaves,,
Guerrero,12,Teloloapan,12058,,Producción ganadera en inundaciones,,
Guerrero,12,Teloloapan,12058,,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Tepecoacuilco de Trujano,12059,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Tepecoacuilco de Trujano,12059,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Tepecoacuilco de Trujano,12059,Primer Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,Tepecoacuilco de Trujano,12059,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Tepecoacuilco de Trujano,12059,Primer Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,Tepecoacuilco de Trujano,12059,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Tixtla de Guerrero,12061,Tercer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,
Guerrero,12,Tixtla de Guerrero,12061,Tercer Nivel de Priorización,Producción ganadera en estrés hídrico,Alto,Aumento
Guerrero,12,Tixtla de Guerrero,12061,Tercer Nivel de Priorización,Población expuesta al dengue,Sin Vulnerabilidad,Aumento
Guerrero,12,Tixtla de Guerrero,12061,Tercer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Tixtla de Guerrero,12061,Tercer Nivel de Priorización,Producción ganadera en inundaciones,Alto,Aumento
Guerrero,12,Tixtla de Guerrero,12061,Tercer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Alto,Aumento
Guerrero,12,Zitlala,12074,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Zitlala,12074,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Zitlala,12074,Primer Nivel de Priorización,Población expuesta al dengue,Bajo,
Guerrero,12,Zitlala,12074,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,Zitlala,12074,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Guerrero,12,Zitlala,12074,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Eduardo Neri,12075,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Eduardo Neri,12075,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,Alto,
Guerrero,12,Eduardo Neri,12075,Segundo Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,Eduardo Neri,12075,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Eduardo Neri,12075,Segundo Nivel de Priorización,Producción ganadera en inundaciones,Alto,Aumento
Guerrero,12,Eduardo Neri,12075,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Medio,Aumento
Guerrero,12,Iguala de la Independencia,12035,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Iguala de la Independencia,12035,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Iguala de la Independencia,12035,Primer Nivel de Priorización,Población expuesta al dengue,Medio,
Guerrero,12,Iguala de la Independencia,12035,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Iguala de la Independencia,12035,Primer Nivel de Priorización,Producción ganadera en inundaciones,Alto,
Guerrero,12,Iguala de la Independencia,12035,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Coyuca de Benítez,12021,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Medio,
Guerrero,12,Coyuca de Benítez,12021,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Bajo,Aumento
Guerrero,12,Coyuca de Benítez,12021,Primer Nivel de Priorización,Población expuesta al dengue,Alto,Aumento
Guerrero,12,Coyuca de Benítez,12021,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Coyuca de Benítez,12021,Primer Nivel de Priorización,Producción ganadera en inundaciones,Medio,
Guerrero,12,Coyuca de Benítez,12021,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Medio,
Guerrero,12,Alpoyeca,12005,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Guerrero,12,Alpoyeca,12005,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Bajo,
Guerrero,12,Alpoyeca,12005,Primer Nivel de Priorización,Población expuesta al dengue,Sin Vulnerabilidad,
Guerrero,12,Alpoyeca,12005,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,
Guerrero,12,Alpoyeca,12005,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Guerrero,12,Alpoyeca,12005,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Atenango del Río,12008,,Producción forrajera en estrés hídrico,,
Guerrero,12,Atenango del Río,12008,,Producción ganadera en estrés hídrico,,
Guerrero,12,Atenango del Río,12008,,Población expuesta al dengue,,
Guerrero,12,Atenango del Río,12008,,Asentamientos humanos expuestos a deslaves,,
Guerrero,12,Atenango del Río,12008,,Producción ganadera en inundaciones,,
Guerrero,12,Atenango del Río,12008,,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Atlamajalcingo del Monte,12009,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Medio,Aumento
Guerrero,12,Atlamajalcingo del Monte,12009,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Bajo,
Guerrero,12,Atlamajalcingo del Monte,12009,Primer Nivel de Priorización,Población expuesta al dengue,,
Guerrero,12,Atlamajalcingo del Monte,12009,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Muy Alto,Aumento
Guerrero,12,Atlamajalcingo del Monte,12009,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Guerrero,12,Atlamajalcingo del Monte,12009,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Atlixtac,12010,,Producción forrajera en estrés hídrico,,
Guerrero,12,Atlixtac,12010,,Producción ganadera en estrés hídrico,,
Guerrero,12,Atlixtac,12010,,Población expuesta al dengue,,
Guerrero,12,Atlixtac,12010,,Asentamientos humanos expuestos a deslaves,,
Guerrero,12,Atlixtac,12010,,Producción ganadera en inundaciones,,
Guerrero,12,Atlixtac,12010,,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Ayutla de los Libres,12012,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Medio,
Guerrero,12,Ayutla de los Libres,12012,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,
Guerrero,12,Ayutla de los Libres,12012,Primer Nivel de Priorización,Población expuesta al dengue,Alto,
Guerrero,12,Ayutla de los Libres,12012,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Alto,Aumento
Guerrero,12,Ayutla de los Libres,12012,Primer Nivel de Priorización,Producción ganadera en inundaciones,Medio,
Guerrero,12,Ayutla de los Libres,12012,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Azoyú,12013,Segundo Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,
Guerrero,12,Azoyú,12013,Segundo Nivel de Priorización,Producción ganadera en estrés hídrico,Medio,Aumento
Guerrero,12,Azoyú,12013,Segundo Nivel de Priorización,Población expuesta al dengue,Alto,Aumento
Guerrero,12,Azoyú,12013,Segundo Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Guerrero,12,Azoyú,12013,Segundo Nivel de Priorización,Producción ganadera en inundaciones,Alto,Aumento
Guerrero,12,Azoyú,12013,Segundo Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,,
Guerrero,12,Copala,12018,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Medio,Aumento
